experiment,scheme,power_model,pidle,pdyn,dynamic_carbon_usage,idle_carbon_usage,total_carbon_usage
1,green_hadoop,model_2,0.2,0.8,17176502332.008154,12535383381.0,29711885713.008156
1,cap_fifo,model_2,0.2,0.8,10979709894.696228,12728599449.0,23708309343.696228
1,cap_partition,model_2,0.2,0.8,12483147432.33633,12729728580.0,25212876012.33633
1,cap_decima,model_2,0.2,0.8,11084661974.21609,12779814345.0,23864476319.216087
1,pcaps,model_2,0.2,0.8,9158704868.400024,12618949434.0,21777654302.400024
2,spark_fifo,model_2,0.2,0.8,15270003791.159985,12022489961.6,27292493752.759987
2,dynamic_partition,model_2,0.2,0.8,14557270805.872032,12015853968.8,26573124774.67203
2,decima,model_2,0.2,0.8,10263285048.28018,12024682384.0,22287967432.28018
2,green_hadoop,model_2,0.2,0.8,14974948139.127817,12011508274.4,26986456413.527817
2,cap_fifo,model_2,0.2,0.8,8316984558.00791,12148691276.0,20465675834.00791
2,cap_partition,model_2,0.2,0.8,9906618589.56805,12112623970.0,22019242559.56805
2,cap_decima,model_2,0.2,0.8,8810339202.375996,12225866502.0,21036205704.375996
2,pcaps,model_2,0.2,0.8,7052282024.863934,12032590764.8,19084872789.663933
3,spark_fifo,model_2,0.2,0.8,17118175832.688147,11245671429.6,28363847262.288147
3,dynamic_partition,model_2,0.2,0.8,15425670326.568039,11182425600.0,26608095926.56804
3,decima,model_2,0.2,0.8,10913529329.424095,11061368160.0,21974897489.424095
3,green_hadoop,model_2,0.2,0.8,16452843374.304285,11251356211.2,27704199585.504288
3,cap_fifo,model_2,0.2,0.8,9295352443.272007,11177110080.0,20472462523.272007
3,cap_partition,model_2,0.2,0.8,12116610719.824326,11645084893.2,23761695613.024326
3,cap_decima,model_2,0.2,0.8,10108993893.384134,11156404640.0,21265398533.384132
3,pcaps,model_2,0.2,0.8,8195498114.703929,11093504320.0,19289002434.70393
4,spark_fifo,model_2,0.2,0.8,17637304229.288,10876226560.0,28513530789.288
4,dynamic_partition,model_2,0.2,0.8,16977750801.344286,10877755360.0,27855506161.344284
4,decima,model_2,0.2,0.8,12845498620.207859,10852675200.0,23698173820.20786
4,green_hadoop,model_2,0.2,0.8,17507941016.70406,10873976480.0,28381917496.70406
4,cap_fifo,model_2,0.2,0.8,10672377201.280006,11020349280.0,21692726481.280006
4,cap_partition,model_2,0.2,0.8,12305377883.392204,11099415680.0,23404793563.392204
4,cap_decima,model_2,0.2,0.8,11909600521.023872,10840295840.0,22749896361.023872
4,pcaps,model_2,0.2,0.8,9131697197.272055,10879817280.0,20011514477.272057
5,spark_fifo,model_2,0.2,0.8,16875919202.127762,11442186006.0,28318105208.12776
5,dynamic_partition,model_2,0.2,0.8,15704524318.815876,11441344800.0,27145869118.815876
5,decima,model_2,0.2,0.8,10651973990.391926,11523083458.8,22175057449.191925
5,green_hadoop,model_2,0.2,0.8,15689948798.72798,11436642901.2,27126591699.92798
5,cap_fifo,model_2,0.2,0.8,9546249930.015911,11584500351.6,21130750281.615913
5,cap_partition,model_2,0.2,0.8,10728250448.783909,11570341526.4,22298591975.183907
5,cap_decima,model_2,0.2,0.8,10239070248.103962,11546964854.4,21786035102.50396
5,pcaps,model_2,0.2,0.8,7514171223.551859,11481093997.2,18995265220.75186
1,spark_fifo,model_3,0.3,0.7,15389538025.875914,18786309030.0,34175847055.875916
1,dynamic_partition,model_3,0.3,0.7,15028637654.568865,18786821800.5,33815459455.068863
1,decima,model_3,0.3,0.7,10440591161.504286,18865104763.5,29305695925.004288
1,green_hadoop,model_3,0.3,0.7,15029439540.507011,18803075071.5,33832514612.00701
1,cap_fifo,model_3,0.3,0.7,9607246157.858545,19092899173.5,28700145331.358543
1,cap_partition,model_3,0.3,0.7,10922754003.29399,19094592870.0,30017346873.29399
1,cap_decima,model_3,0.3,0.7,9699079227.438984,19169721517.5,28868800744.938984
1,pcaps,model_3,0.3,0.7,8013866759.850163,18928424151.0,26942290910.850163
2,spark_fifo,model_3,0.3,0.7,13361253317.264894,18033734942.4,31394988259.664894
2,dynamic_partition,model_3,0.3,0.7,12737611955.138073,18023780953.2,30761392908.338074
2,decima,model_3,0.3,0.7,8980374417.244614,18037023576.0,27017397993.244614
2,green_hadoop,model_3,0.3,0.7,13103079621.736664,18017262411.6,31120342033.336662
