Submeasurements | avg. watts @ 100%,Submeasurements | avg. watts @ active idle,P_idle_W,P_dyn_W,P_peak_W,ratio_Pidle_Ppeak,ratio_Pidle_Ppeak_percent,ratio_Pdyn_Ppeak,ratio_Pdyn_Ppeak_percent
394,226,226.000000,168.000000,394.000000,0.573604,57.360406,0.426396,42.639594
257,147,147.000000,110.000000,257.000000,0.571984,57.198444,0.428016,42.801556
186,106,106.000000,80.000000,186.000000,0.569892,56.989247,0.430108,43.010753
126,71.7,71.700000,54.300000,126.000000,0.569048,56.904762,0.430952,43.095238
276,157,157.000000,119.000000,276.000000,0.568841,56.884058,0.431159,43.115942
1749,993,993.000000,756.000000,1749.000000,0.567753,56.775300,0.432247,43.224700
178,101,101.000000,77.000000,178.000000,0.567416,56.741573,0.432584,43.258427
210,119,119.000000,91.000000,210.000000,0.566667,56.666667,0.433333,43.333333
189,106,106.000000,83.000000,189.000000,0.560847,56.084656,0.439153,43.915344
174,96.8,96.800000,77.200000,174.000000,0.556322,55.632184,0.443678,44.367816
799,444,444.000000,355.000000,799.000000,0.555695,55.569462,0.444305,44.430538
127,70,70.000000,57.000000,127.000000,0.551181,55.118110,0.448819,44.881890
852,468,468.000000,384.000000,852.000000,0.549296,54.929577,0.450704,45.070423
115,63,63.000000,52.000000,115.000000,0.547826,54.782609,0.452174,45.217391
420,230,230.000000,190.000000,420.000000,0.547619,54.761905,0.452381,45.238095
78.2,42.8,42.800000,35.400000,78.200000,0.547315,54.731458,0.452685,45.268542
412,225,225.000000,187.000000,412.000000,0.546117,54.611650,0.453883,45.388350
913,498,498.000000,415.000000,913.000000,0.545455,54.545455,0.454545,45.454545
287,156,156.000000,131.000000,287.000000,0.543554,54.355401,0.456446,45.644599
793,430,430.000000,363.000000,793.000000,0.542245,54.224464,0.457755,45.775536
268,144,144.000000,124.000000,268.000000,0.537313,53.731343,0.462687,46.268657
796,427,427.000000,369.000000,796.000000,0.536432,53.643216,0.463568,46.356784
792,418,418.000000,374.000000,792.000000,0.527778,52.777778,0.472222,47.222222
125,65.9,65.900000,59.100000,125.000000,0.527200,52.720000,0.472800,47.280000
98.4,51.8,51.800000,46.600000,98.400000,0.526423,52.642276,0.473577,47.357724
161,84.6,84.600000,76.400000,161.000000,0.525466,52.546584,0.474534,47.453416
98.4,51.7,51.700000,46.700000,98.400000,0.525407,52.540650,0.474593,47.459350
69.7,36.6,36.600000,33.100000,69.700000,0.525108,52.510760,0.474892,47.489240
150,78.2,78.200000,71.800000,150.000000,0.521333,52.133333,0.478667,47.866667
1103,575,575.000000,528.000000,1103.000000,0.521306,52.130553,0.478694,47.869447
109,56.8,56.800000,52.200000,109.000000,0.521101,52.110092,0.478899,47.889908
95.4,49.6,49.600000,45.800000,95.400000,0.519916,51.991614,0.480084,48.008386
334,173,173.000000,161.000000,334.000000,0.517964,51.796407,0.482036,48.203593
173,89.4,89.400000,83.600000,173.000000,0.516763,51.676301,0.483237,48.323699
252,130,130.000000,122.000000,252.000000,0.515873,51.587302,0.484127,48.412698
264,136,136.000000,128.000000,264.000000,0.515152,51.515152,0.484848,48.484848
133,68.5,68.500000,64.500000,133.000000,0.515038,51.503759,0.484962,48.496241
269,138,138.000000,131.000000,269.000000,0.513011,51.301115,0.486989,48.698885
3948,2024,2024.000000,1924.000000,3948.000000,0.512665,51.266464,0.487335,48.733536
116,59.3,59.300000,56.700000,116.000000,0.511207,51.120690,0.488793,48.879310
136,69.5,69.500000,66.500000,136.000000,0.511029,51.102941,0.488971,48.897059
282,143,143.000000,139.000000,282.000000,0.507092,50.709220,0.492908,49.290780
170,86,86.000000,84.000000,170.000000,0.505882,50.588235,0.494118,49.411765
837,423,423.000000,414.000000,837.000000,0.505376,50.537634,0.494624,49.462366
135,68.2,68.200000,66.800000,135.000000,0.505185,50.518519,0.494815,49.481481
94.5,47.7,47.700000,46.800000,94.500000,0.504762,50.476190,0.495238,49.523810
244,123,123.000000,121.000000,244.000000,0.504098,50.409836,0.495902,49.590164
373,188,188.000000,185.000000,373.000000,0.504021,50.402145,0.495979,49.597855
89,44.7,44.700000,44.300000,89.000000,0.502247,50.224719,0.497753,49.775281
137,68.7,68.700000,68.300000,137.000000,0.501460,50.145985,0.498540,49.854015
115,57.5,57.500000,57.500000,115.000000,0.500000,50.000000,0.500000,50.000000
250,125,125.000000,125.000000,250.000000,0.500000,50.000000,0.500000,50.000000
107,53.1,53.100000,53.900000,107.000000,0.496262,49.626168,0.503738,50.373832
132,65.3,65.300000,66.700000,132.000000,0.494697,49.469697,0.505303,50.530303
258,127,127.000000,131.000000,258.000000,0.492248,49.224806,0.507752,50.775194
44.9,22,22.000000,22.900000,44.900000,0.489978,48.997773,0.510022,51.002227
94.7,46.2,46.200000,48.500000,94.700000,0.487856,48.785639,0.512144,51.214361
94,45.8,45.800000,48.200000,94.000000,0.487234,48.723404,0.512766,51.276596
256,124,124.000000,132.000000,256.000000,0.484375,48.437500,0.515625,51.562500
